"id_stock","high","low","close","date"
"13","229.98","229.98","229.98","2025-01-20"
"13","224.42","219.38","222.64","2025-01-21"
"13","224.12","219.79","223.83","2025-01-22"
"13","227.03","222.3","223.66","2025-01-23"
"13","225.63","221.41","222.78","2025-01-24"
"13","232.15","223.98","229.86","2025-01-27"
"13","240.19","230.81","238.26","2025-01-28"
"13","239.855","234.01","239.36","2025-01-29"
"13","240.79","237.21","237.59","2025-01-30"
"13","247.19","233.44","236","2025-01-31"
"13","231.83","225.7","228.01","2025-02-03"
"13","233.13","226.65","232.8","2025-02-04"
"13","232.67","228.27","232.47","2025-02-05"
"13","233.8","230.425","233.22","2025-02-06"
"13","234","227.26","227.63","2025-02-07"
"13","230.585","227.2","227.65","2025-02-10"
"13","235.23","228.13","232.62","2025-02-11"
"13","236.96","230.68","236.87","2025-02-12"
"13","242.3399","235.57","241.53","2025-02-13"
"13","245.55","240.99","244.6","2025-02-14"
"13","244.6","244.6","244.6","2025-02-17"
"13","245.18","241.84","244.47","2025-02-18"
"13","246.01","243.1604","244.87","2025-02-19"
"13","246.78","244.29","245.83","2025-02-20"
"13","248.69","245.22","245.55","2025-02-21"
"13","248.86","244.42","247.1","2025-02-24"
"13","250","244.91","247.04","2025-02-25"
"13","244.98","239.13","240.36","2025-02-26"
"13","242.46","237.06","237.3","2025-02-27"
"13","242.09","230.2","241.84","2025-02-28"
"13","244.0272","236.112","238.03","2025-03-03"
"13","240.07","234.68","235.93","2025-03-04"
"13","236.55","229.23","235.74","2025-03-05"
"13","237.86","233.1581","235.33","2025-03-06"
"13","241.37","234.76","239.07","2025-03-07"
"13","236.16","224.22","227.48","2025-03-10"
"13","225.8399","217.45","220.84","2025-03-11"
"13","221.75","214.91","216.98","2025-03-12"
"13","216.8394","208.42","209.68","2025-03-13"
"13","213.95","209.58","213.49","2025-03-14"
"13","215.22","209.97","214","2025-03-17"
"13","215.15","211.49","212.69","2025-03-18"
"13","218.76","213.75","215.24","2025-03-19"
"13","217.4899","212.22","214.1","2025-03-20"
"13","218.84","211.28","218.27","2025-03-21"
"13","221.48","218.58","220.73","2025-03-24"
"13","224.1","220.08","223.75","2025-03-25"
"13","225.02","220.47","221.53","2025-03-26"
"13","224.99","220.5601","223.85","2025-03-27"
"13","223.81","217.68","217.9","2025-03-28"
"13","225.62","216.23","222.13","2025-03-31"
"13","223.68","218.9","223.19","2025-04-01"
"13","225.19","221.02","223.89","2025-04-02"
"13","207.49","201.25","203.19","2025-04-03"
"13","199.88","187.34","188.38","2025-04-04"
"13","194.15","174.62","181.46","2025-04-07"
"13","190.335","169.2101","172.42","2025-04-08"
"13","200.61","171.89","198.85","2025-04-09"
"13","194.7799","183","190.42","2025-04-10"
"13","199.54","186.06","198.15","2025-04-11"
"13","212.94","201.1621","202.52","2025-04-14"
"13","203.51","199.8","202.14","2025-04-15"
"13","200.7","192.37","194.27","2025-04-16"
"13","198.8335","194.42","196.98","2025-04-17"
"13","196.98","196.98","196.98","2025-04-18"
"13","193.8","189.8112","193.16","2025-04-21"
"13","201.59","195.97","199.74","2025-04-22"
"13","208","202.799","204.6","2025-04-23"
"13","208.8299","202.94","208.37","2025-04-24"
"13","209.75","206.2","209.28","2025-04-25"
"13","211.5","207.46","210.14","2025-04-28"
"13","212.24","208.37","211.21","2025-04-29"
"13","213.58","206.6705","212.5","2025-04-30"
"13","214.56","208.9","213.32","2025-05-01"
"13","206.99","202.16","205.35","2025-05-02"
"13","204.1","198.21","198.89","2025-05-05"
"13","200.65","197.02","198.51","2025-05-06"
"13","199.44","193.25","196.25","2025-05-07"
"13","200.05","194.6796","197.49","2025-05-08"
"13","200.5399","197.535","198.53","2025-05-09"
"13","211.2679","206.75","210.79","2025-05-12"
"13","213.4","209","212.93","2025-05-13"
"13","213.94","210.5801","212.33","2025-05-14"
"13","212.96","209.54","211.45","2025-05-15"
"13","212.57","209.77","211.26","2025-05-16"
"13","209.48","204.26","208.78","2025-05-19"
"13","208.47","205.03","206.86","2025-05-20"
"13","207.04","200.71","202.09","2025-05-21"
"13","202.75","199.7","201.36","2025-05-22"
"13","197.7","193.46","195.27","2025-05-23"
"13","195.27","195.27","195.27","2025-05-26"
"13","200.74","197.43","200.21","2025-05-27"
"13","202.73","199.9","200.42","2025-05-28"
"13","203.81","198.51","199.95","2025-05-29"
"13","201.96","196.78","200.85","2025-05-30"
"13","202.13","200.12","201.7","2025-06-02"
"13","203.77","200.955","203.27","2025-06-03"
"13","206.24","202.1","202.82","2025-06-04"
"13","204.75","200.15","200.63","2025-06-05"
"13","205.7","202.05","203.92","2025-06-06"
"13","206","200.02","201.45","2025-06-09"
"13","204.35","200.57","202.67","2025-06-10"
"13","204.5","198.41","198.78","2025-06-11"
"13","199.68","197.3601","199.2","2025-06-12"
"13","200.37","195.7","196.45","2025-06-13"
"13","198.685","196.5636","198.42","2025-06-16"
"13","198.39","195.21","195.64","2025-06-17"
"13","197.57","195.07","196.58","2025-06-18"
"13","196.58","196.58","196.58","2025-06-19"
"13","201.7","196.855","201","2025-06-20"
"13","202.3","198.96","201.5","2025-06-23"
